SÑ§ºÅ	S¿Î³ÌºÅ	³É¼¨
0700001	001	98
0700001	002	82
0700001	006	56
0700002	003	69
0700002	004	87
0700002	005	77
0700002	007	90
0700003	001	46
0700003	002	38
0700003	007	50
0800001	001	70
0800001	002	68
0800001	003	70
0800001	004	58
0800001	005	88
0800001	006	72
0800001	007	71
0800002	001	98
0800002	003	60
0800002	007	46
0800003	001	70
0800003	002	60
0800008	007	50
0800004	001	70
0800004	003	98
0800004	006	89
0800004	007	80
0800005	001	82
0800005	002	80
0800005	004	47
0800005	006	90
0800005	007	82
0800006	001	78
0800006	002	60
0800006	003	69
0800006	004	87
0800006	005	77
0800006	006	56
0800006	007	90
0800007	002	38

